id data_source sfs_method dist.bin V1 V2 lat.V1 long.V1 lat.V2 long.V2 popset dist locale1 locale2
1 PoolSNP counts 0 AT_See_16_1 AT_Mau_15_50 46.8136889 13.50794792 48.375 15.56 EW 2.57848988557557 NA NA
1 SNAPE counts 0 AT_See_16_1 AT_Mau_15_50 46.8136889 13.50794792 48.375 15.56 EW 2.57848988557557 NA NA
1 PoolSNP binom 0 AT_See_16_1 AT_Mau_15_50 46.8136889 13.50794792 48.375 15.56 EW 2.57848988557557 NA NA
1 SNAPE binom 0 AT_See_16_1 AT_Mau_15_50 46.8136889 13.50794792 48.375 15.56 EW 2.57848988557557 NA NA
10 PoolSNP counts 0 DE_Bro_16_10 AT_Mau_15_50 48.218024 7.819513 48.375 15.56 EW 7.74207856210107 NA NA
10 SNAPE counts 0 DE_Bro_16_10 AT_Mau_15_50 48.218024 7.819513 48.375 15.56 EW 7.74207856210107 NA NA
10 PoolSNP binom 0 DE_Bro_16_10 AT_Mau_15_50 48.218024 7.819513 48.375 15.56 EW 7.74207856210107 NA NA
10 SNAPE binom 0 DE_Bro_16_10 AT_Mau_15_50 48.218024 7.819513 48.375 15.56 EW 7.74207856210107 NA NA
1003 PoolSNP counts 40 ES_Tom_16_37 RU_val_15_36 39.152529 -3.0616048 58.024 33.23528 EW 40.9096108987645 NA NA
1003 SNAPE counts 40 ES_Tom_16_37 RU_val_15_36 39.152529 -3.0616048 58.024 33.23528 EW 40.9096108987645 NA NA
1003 PoolSNP binom 40 ES_Tom_16_37 RU_val_15_36 39.152529 -3.0616048 58.024 33.23528 EW 40.9096108987645 NA NA
1003 SNAPE binom 40 ES_Tom_16_37 RU_val_15_36 39.152529 -3.0616048 58.024 33.23528 EW 40.9096108987645 NA NA
1010 PoolSNP counts 0 FI_Ves_14_38 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1010 SNAPE counts 0 FI_Ves_14_38 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1010 PoolSNP binom 0 FI_Ves_14_38 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1010 SNAPE binom 0 FI_Ves_14_38 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1011 PoolSNP counts 0 FI_Ves_16_7 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1011 SNAPE counts 0 FI_Ves_16_7 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1011 PoolSNP binom 0 FI_Ves_16_7 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1011 SNAPE binom 0 FI_Ves_16_7 RU_val_15_36 62.55 26.24 58.024 33.23528 EW 8.33178361927385 NA NA
1012 PoolSNP counts 40 FR_Got_15_49 RU_val_15_36 44.977 4.93 58.024 33.23528 EW 31.1675004592669 NA NA
1012 SNAPE counts 40 FR_Got_15_49 RU_val_15_36 44.977 4.93 58.024 33.23528 EW 31.1675004592669 NA NA
1012 PoolSNP binom 40 FR_Got_15_49 RU_val_15_36 44.977 4.93 58.024 33.23528 EW 31.1675004592669 NA NA
1012 SNAPE binom 40 FR_Got_15_49 RU_val_15_36 44.977 4.93 58.024 33.23528 EW 31.1675004592669 NA NA
1020 PoolSNP counts 20 TR_Yes_15_3 RU_val_15_36 40.231444 32.260328 58.024 33.23528 EW 17.8192474705146 NA NA
1020 SNAPE counts 20 TR_Yes_15_3 RU_val_15_36 40.231444 32.260328 58.024 33.23528 EW 17.8192474705146 NA NA
1020 PoolSNP binom 20 TR_Yes_15_3 RU_val_15_36 40.231444 32.260328 58.024 33.23528 EW 17.8192474705146 NA NA
1020 SNAPE binom 20 TR_Yes_15_3 RU_val_15_36 40.231444 32.260328 58.024 33.23528 EW 17.8192474705146 NA NA
103 PoolSNP counts 0 SE_Lun_15_14 AT_Mau_15_51 55.694 13.198 48.375 15.56 EW 7.69069600231345 NA NA
103 SNAPE counts 0 SE_Lun_15_14 AT_Mau_15_51 55.694 13.198 48.375 15.56 EW 7.69069600231345 NA NA
103 PoolSNP binom 0 SE_Lun_15_14 AT_Mau_15_51 55.694 13.198 48.375 15.56 EW 7.69069600231345 NA NA
103 SNAPE binom 0 SE_Lun_15_14 AT_Mau_15_51 55.694 13.198 48.375 15.56 EW 7.69069600231345 NA NA
1035 PoolSNP counts 40 UK_Mar_16_53 RU_val_15_36 52.46 -0.959 58.024 33.23528 EW 34.6440020886502 NA NA
1035 SNAPE counts 40 UK_Mar_16_53 RU_val_15_36 52.46 -0.959 58.024 33.23528 EW 34.6440020886502 NA NA
1035 PoolSNP binom 40 UK_Mar_16_53 RU_val_15_36 52.46 -0.959 58.024 33.23528 EW 34.6440020886502 NA NA
