CHROM	POP	DATASET	Pi	Watterson	Tajima_D
3L	SC_eu_10_spring	North America_SNAPE	0.006132	0.006009	0.082765
3L	SE_Lun_14_30	Europe_SNAPE	0.005415	0.005418	-0.002820
3L	SE_Lun_15_14	Europe_SNAPE	0.005496	0.005466	0.022719
3L	SE_Lun_15_15	Europe_SNAPE	0.005339	0.005180	0.124192
3L	TR_Yes_15_3	Europe_SNAPE	0.005273	0.005092	0.147025
3L	TR_Yes_15_4	Europe_SNAPE	0.005445	0.005370	0.072372
3L	TR_Yes_15_5	Europe_SNAPE	0.005437	0.005480	-0.030915
3L	TR_Yes_15_6	Europe_SNAPE	0.005573	0.005570	0.001698
3L	TR_Yes_15_7	Europe_SNAPE	0.005747	0.005809	-0.132613
3L	TR_Yes_15_8	Europe_SNAPE	0.005470	0.005557	-0.062121
3L	TR_Yes_16_39	Europe_SNAPE	0.005443	0.005551	-0.086273
3L	TR_Yes_16_40	Europe_SNAPE	0.005272	0.005289	-0.014376
3L	TR_Yes_16_41	Europe_SNAPE	0.005409	0.005555	-0.109090
3L	TR_Yes_16_42	Europe_SNAPE	0.005686	0.005834	-0.110733
3L	TR_Yes_16_43	Europe_SNAPE	0.005532	0.005724	-0.139400
3L	TR_Yes_16_52	Europe_SNAPE	0.005225	0.005173	0.046373
3L	UA_Che_14_28	Europe_SNAPE	0.005189	0.005125	0.053136
3L	UA_Che_14_29	Europe_SNAPE	0.005179	0.005077	0.087974
3L	UA_Cho_15_24	Europe_SNAPE	0.005385	0.005375	0.008179
3L	UA_Cho_15_25	Europe_SNAPE	0.004460	0.003184	1.655437
3L	UA_Cho_15_26	Europe_SNAPE	0.005344	0.005362	-0.015009
3L	UA_Cho_15_27	Europe_SNAPE	0.005298	0.005148	0.120346
3L	UA_Cho_15_65	Europe_SNAPE	0.005425	0.005624	-0.146457
3L	UA_Cho_15_67	Europe_SNAPE	0.005318	0.005436	-0.091070
3L	UA_Cho_15_68	Europe_SNAPE	0.005425	0.005623	-0.147608
3L	UA_Cho_15_69	Europe_SNAPE	0.005343	0.005496	-0.121218
3L	UA_Cho_15_70	Europe_SNAPE	0.005280	0.005395	-0.090372
3L	UA_Cho_16_54	Europe_SNAPE	0.005272	0.005381	-0.085591
3L	UA_Cho_16_55	Europe_SNAPE	0.005115	0.005101	0.011165
3L	UA_Cho_16_62	Europe_SNAPE	0.005318	0.005483	-0.127376
3L	UA_Dro_14_27	Europe_SNAPE	0.004929	0.004740	0.171472
3L	UA_Dro_15_10	Europe_SNAPE	0.004978	0.004760	0.186721
3L	UA_Dro_16_56	Europe_SNAPE	0.004892	0.004783	0.102053
3L	UA_Kan_16_57	Europe_SNAPE	0.005300	0.005444	-0.110855
3L	UA_Kha_15_19	Europe_SNAPE	0.005471	0.005586	-0.083041
3L	UA_Kha_16_58	Europe_SNAPE	0.005331	0.005418	-0.070377
3L	UA_Kyi_14_23	Europe_SNAPE	0.005189	0.005065	0.113132
3L	UA_Kyi_14_24	Europe_SNAPE	0.005243	0.005158	0.078844
3L	UA_Kyi_15_64	Europe_SNAPE	0.005318	0.005442	-0.094657
3L	UA_Kyi_16_44	Europe_SNAPE	0.005321	0.005445	-0.097746
3L	UA_Kyi_16_45	Europe_SNAPE	0.005356	0.005456	-0.084036
3L	UA_Kyi_16_59	Europe_SNAPE	0.005278	0.005343	-0.050259
3L	UA_od_13_fall	Europe_SNAPE	0.005294	0.005402	-0.082756
3L	UA_od_13_spring	Europe_SNAPE	0.005532	0.005769	-0.176603
3L	UA_Ode_14_19	Europe_SNAPE	0.005006	0.004798	0.187519
3L	UA_Ode_14_20	Europe_SNAPE	0.004977	0.004752	0.219154
3L	UA_Ode_14_21	Europe_SNAPE	0.005377	0.005378	-0.000834
3L	UA_Ode_14_22	Europe_SNAPE	0.005294	0.005267	0.022953
3L	UA_Ode_15_11	Europe_SNAPE	0.005245	0.005298	-0.044545
3L	UA_Ode_15_20	Europe_SNAPE	0.005010	0.004848	0.137639
3L	UA_Ode_15_22	Europe_SNAPE	0.005322	0.005330	-0.006984
3L	UA_Ode_15_66	Europe_SNAPE	0.004948	0.004797	0.136550
3L	UA_Ode_16_46	Europe_SNAPE	0.005010	0.005058	-0.043613
3L	UA_Ode_16_47	Europe_SNAPE	0.004983	0.004919	0.058974
3L	UA_Pir_16_48	Europe_SNAPE	0.004892	0.004936	-0.043167
3L	UA_Pyr_14_26	Europe_SNAPE	0.005448	0.005490	-0.032022
3L	UA_Pyr_15_21	Europe_SNAPE	0.005368	0.005341	0.021375
3L	UA_Pyr_16_49	Europe_SNAPE	0.005367	0.005572	-0.150367
3L	UA_Uma_15_9	Europe_SNAPE	0.005384	0.005382	0.001212
3L	UA_Uma_16_50	Europe_SNAPE	0.005186	0.005180	0.006123
3L	UA_Uma_16_51	Europe_SNAPE	0.005327	0.005386	-0.050300
3L	UA_Var_14_25	Europe_SNAPE	0.005350	0.005305	0.037490
3L	UA_Var_15_18	Europe_SNAPE	0.005976	0.006008	-0.021933
3L	UA_Var_16_60	Europe_SNAPE	0.005670	0.005830	-0.121594
3L	UA_Yal_14_16	Europe_SNAPE	0.005001	0.004679	0.282659
3L	UA_Yal_14_18	Europe_SNAPE	0.005128	0.004915	0.182966
3L	UA_Yal_15_23	Europe_SNAPE	0.005128	0.004984	0.160819
3L	UA_Yal_15_63	Europe_SNAPE	0.005213	0.005270	-0.046290
3L	UA_Yal_16_61	Europe_SNAPE	0.005038	0.004925	0.099702
3L	UK_Dai_15_52	Europe_SNAPE	0.005118	0.004449	0.611583
3L	UK_Dai_16_23	Europe_SNAPE	0.005330	0.005338	-0.006238
3L	UK_Lut_14_13	Europe_SNAPE	0.005516	0.005562	-0.034434
3L	UK_Mar_14_12	Europe_SNAPE	0.005386	0.005265	0.091808
3L	UK_Mar_15_42	Europe_SNAPE	0.005429	0.005446	-0.012552
3L	UK_Mar_16_53	Europe_SNAPE	0.005352	0.005542	-0.138101
3L	UK_She_14_09	Europe_SNAPE	0.006841	0.007223	-0.701324
3L	UK_She_15_17	Europe_SNAPE	0.005210	0.004792	0.348283
3L	VA_ch_12_fall	North America_SNAPE	0.006032	0.006220	-0.151852
3L	VA_ch_12_spring	North America_SNAPE	0.005971	0.005969	0.001118
3L	VA_ch_14_fall	North America_SNAPE	0.005990	0.005945	0.030201
3L	VA_ch_14_spring	North America_SNAPE	0.006007	0.006048	-0.027683
3L	VA_ch_15_fall	North America_SNAPE	0.005990	0.005958	0.021623
3L	VA_ch_15_spring	North America_SNAPE	0.005960	0.005939	0.013943
3L	WA_se_14_spring	North America_SNAPE	0.005666	0.005788	-0.075722
3L	WI_cp_12_fall	North America_SNAPE	0.005810	0.005914	-0.080551
3L	WI_cp_12_frost	North America_SNAPE	0.005819	0.005927	-0.083207
3L	WI_cp_12_spring	North America_SNAPE	0.005737	0.005724	0.015378
3L	WI_cp_13_fall	North America_SNAPE	0.005969	0.006108	-0.096999
3L	WI_cp_13_spring	North America_SNAPE	0.006093	0.006508	-0.226415
3L	WI_cp_14_fall	North America_SNAPE	0.005887	0.006031	-0.089258
3L	WI_cp_14_spring	North America_SNAPE	0.005855	0.005441	0.295158
3R	AT_gr_12_fall	Europe_SNAPE	0.004307	0.004444	-0.141946
3R	AT_gr_12_spring	Europe_SNAPE	0.004434	0.004547	-0.134705
3R	AT_Mau_15_50	Europe_SNAPE	0.004383	0.004478	-0.081960
3R	AT_Mau_15_51	Europe_SNAPE	0.004379	0.004478	-0.088228
3R	AT_See_16_1	Europe_SNAPE	0.005030	0.005313	-0.219776
3R	BY_Bre_15_13	Europe_SNAPE	0.004267	0.004251	0.015866
3R	CA_es_12_fall	North America_SNAPE	0.004706	0.004843	-0.126501
3R	CA_es_12_frost	North America_SNAPE	0.004780	0.004889	-0.102920
3R	CA_es_12_spring	North America_SNAPE	0.004787	0.004983	-0.169145
3R	CA_es_13_fall	North America_SNAPE	0.004912	0.005104	-0.158676
3R	CA_es_13_spring	North America_SNAPE	0.004810	0.005005	-0.168828
3R	CA_pl_12_fall	North America_SNAPE	0.004636	0.004706	-0.057459
3R	CA_pl_12_frost	North America_SNAPE	0.004793	0.004907	-0.105137
3R	CA_pl_13_fall	North America_SNAPE	0.004875	0.005071	-0.161910
3R	CA_pl_13_frost	North America_SNAPE	0.004835	0.005018	-0.157609
3R	CA_st_12_fall	North America_SNAPE	0.004600	0.004701	-0.101350
3R	CA_st_12_frost	North America_SNAPE	0.004705	0.004836	-0.124933
3R	CA_st_13_fall	North America_SNAPE	0.004738	0.004821	-0.072249
3R	CA_tu_12_fall	North America_SNAPE	0.004789	0.004989	-0.189262
3R	CA_tu_12_frost	North America_SNAPE	0.004760	0.004860	-0.082675
3R	CA_tu_13_fall	North America_SNAPE	0.004905	0.005052	-0.116212
3R	CA_tu_13_frost	North America_SNAPE	0.004797	0.004937	-0.126457
3R	CA_tu_13_spring	North America_SNAPE	0.004628	0.004717	-0.082916
3R	CH_Cha_14_42	Europe_SNAPE	0.005229	0.005511	-0.230460
3R	CH_Cha_15_39	Europe_SNAPE	0.005092	0.004792	0.269219
3R	CH_Cha_16_38	Europe_SNAPE	0.005105	0.005338	-0.194618
3R	CY_Nic_14_11	Europe_SNAPE	0.005005	0.004871	0.110594
3R	DE_Bro_14_14	Europe_SNAPE	0.004600	0.004434	0.152043
3R	DE_Bro_14_15	Europe_SNAPE	0.004650	0.004829	-0.158268
3R	DE_Bro_15_53	Europe_SNAPE	0.004821	0.005224	-0.311565
3R	DE_Bro_15_54	Europe_SNAPE	0.004787	0.005205	-0.319102
3R	DE_Bro_16_10	Europe_SNAPE	0.004743	0.005037	-0.247430
3R	DE_Bro_16_11	Europe_SNAPE	0.004481	0.004698	-0.194221
3R	DE_Mun_14_31	Europe_SNAPE	0.004550	0.004580	-0.029775
3R	DE_Mun_14_32	Europe_SNAPE	0.004984	0.005397	-0.355410
3R	DE_Mun_15_45	Europe_SNAPE	0.004856	0.005117	-0.212755
3R	DE_Mun_15_46	Europe_SNAPE	0.004767	0.004989	-0.180831
3R	DE_Mun_16_12	Europe_SNAPE	0.004589	0.004713	-0.110960
3R	DE_Mun_16_13	Europe_SNAPE	0.004683	0.004942	-0.217170
3R	DK_Kar_14_39	Europe_SNAPE	0.004713	0.004922	-0.193775
3R	DK_Kar_14_41	Europe_SNAPE	0.004750	0.004988	-0.231379
3R	DK_Kar_16_2	Europe_SNAPE	0.003892	0.003330	0.688186
3R	DK_Kar_16_3	Europe_SNAPE	0.004033	0.003695	0.379259
3R	DK_Kar_16_4	Europe_SNAPE	0.004145	0.003823	0.339050
3R	ES_ba_12_fall	Europe_SNAPE	0.005190	0.005535	-0.258081
3R	ES_ba_12_spring	Europe_SNAPE	0.004992	0.005202	-0.219162
3R	ES_Ben_16_32	Europe_SNAPE	0.005079	0.005525	-0.361302
3R	ES_Cor_15_33	Europe_SNAPE	0.004827	0.005135	-0.261533
3R	ES_Gim_14_34	Europe_SNAPE	0.005599	0.006021	-0.335811
3R	ES_Gim_14_35	Europe_SNAPE	0.004962	0.005067	-0.099268
3R	ES_Gim_15_30	Europe_SNAPE	0.005268	0.005025	0.199508
3R	ES_Gim_15_31	Europe_SNAPE	0.005381	0.005530	-0.120885
3R	ES_Gim_16_33	Europe_SNAPE	0.005440	0.005668	-0.269999
3R	ES_Gim_16_34	Europe_SNAPE	0.005213	0.005240	-0.023256
3R	ES_Gua_15_32	Europe_SNAPE	0.005077	0.005431	-0.277422
3R	ES_Pur_16_35	Europe_SNAPE	0.005008	0.005480	-0.398454
3R	ES_Tom_15_28	Europe_SNAPE	0.004882	0.005139	-0.231039
3R	ES_Tom_15_29	Europe_SNAPE	0.004895	0.005311	-0.315741
3R	ES_Tom_16_36	Europe_SNAPE	0.004718	0.005096	-0.307403
3R	ES_Tom_16_37	Europe_SNAPE	0.004741	0.005055	-0.272827
3R	FI_Aka_14_36	Europe_SNAPE	0.004777	0.005052	-0.265941
3R	FI_Aka_14_37	Europe_SNAPE	0.004655	0.004836	-0.179204
3R	FI_Aka_15_34	Europe_SNAPE	0.004515	0.004580	-0.058754
3R	FI_Aka_15_35	Europe_SNAPE	0.004606	0.004691	-0.077124
3R	FI_Aka_16_5	Europe_SNAPE	0.004467	0.004571	-0.099493
3R	FI_Aka_16_6	Europe_SNAPE	0.004596	0.004846	-0.212795
3R	FI_Ves_14_38	Europe_SNAPE	0.004681	0.004883	-0.178328
3R	FI_Ves_16_7	Europe_SNAPE	0.004698	0.005034	-0.270729
3R	FL_ho_10_spring	North America_SNAPE	0.005824	0.005713	0.083589
3R	FR_Got_15_47	Europe_SNAPE	0.004587	0.004708	-0.108027
3R	FR_Got_15_48	Europe_SNAPE	0.004731	0.004870	-0.129154
3R	FR_Got_15_49	Europe_SNAPE	0.004617	0.004574	0.042577
3R	FR_Got_16_8	Europe_SNAPE	0.004504	0.004688	-0.167216
3R	FR_Vil_15_40	Europe_SNAPE	0.004782	0.005117	-0.265182
3R	FR_Vil_15_41	Europe_SNAPE	0.004614	0.004902	-0.238572
3R	FR_Vil_16_9	Europe_SNAPE	0.004992	0.005390	-0.307731
3R	GA_at_14_fall	North America_SNAPE	0.005273	0.005130	0.103329
3R	GA_at_14_spring	North America_SNAPE	0.005305	0.005484	-0.132524
3R	GA_ha_08_spring	North America_SNAPE	0.005622	0.005535	0.060866
3R	HU_Sze_16_14	Europe_SNAPE	0.004189	0.004203	-0.015486
3R	IL_ur_15_spring	North America_SNAPE	0.005053	0.005215	-0.126090
3R	IT_Mez_15_43	Europe_SNAPE	0.004779	0.005103	-0.290210
3R	IT_Mez_15_44	Europe_SNAPE	0.005139	0.005439	-0.295320
3R	IT_Tre_16_15	Europe_SNAPE	0.004516	0.004639	-0.130287
3R	KA_to_14_fall	North America_SNAPE	0.005120	0.005324	-0.171869
3R	KA_to_14_spring	North America_SNAPE	0.005164	0.005382	-0.173766
3R	MA_la_12_fall	North America_SNAPE	0.004966	0.005105	-0.126893
3R	MA_la_12_spring	North America_SNAPE	0.004931	0.005054	-0.109195
3R	MA_la_14_fall	North America_SNAPE	0.004883	0.005011	-0.098238
3R	MA_la_14_spring	North America_SNAPE	0.004804	0.004564	0.212968
3R	ME_bo_09_fall.r1	North America_SNAPE	0.005138	0.005428	-0.226201
3R	MI_bh_14_fall	North America_SNAPE	0.004791	0.004743	0.036888
3R	MI_bh_14_spring	North America_SNAPE	0.004802	0.004771	0.024952
3R	NC_ra_03_n	North America_SNAPE	0.005003	0.005095	-0.114614
3R	NY_it_12_fall	North America_SNAPE	0.004917	0.005045	-0.131184
3R	NY_it_12_spring	North America_SNAPE	0.004969	0.005075	-0.087745
3R	ON_su_15_fall	North America_SNAPE	0.004991	0.005123	-0.104340
3R	ON_su_15_spring	North America_SNAPE	0.004711	0.003917	0.703440
3R	PA_li_09_fall	North America_SNAPE	0.005098	0.005213	-0.094856
3R	PA_li_09_spring	North America_SNAPE	0.004973	0.004863	0.080120
3R	PA_li_10_fall	North America_SNAPE	0.005092	0.005167	-0.059307
3R	PA_li_10_spring	North America_SNAPE	0.005395	0.005514	-0.119534
3R	PA_li_11_frost	North America_SNAPE	0.005118	0.005237	-0.097878
3R	PA_li_11_spring	North America_SNAPE	0.005040	0.005121	-0.068576
3R	PA_li_12_fall	North America_SNAPE	0.004948	0.005026	-0.093531
3R	PA_li_12_spring	North America_SNAPE	0.005121	0.005252	-0.106548
3R	PA_li_12_sum	North America_SNAPE	0.004977	0.005091	-0.101499
3R	PA_li_13_spring	North America_SNAPE	0.004944	0.004835	0.092029
3R	PA_li_14_fall	North America_SNAPE	0.005134	0.005364	-0.163665
3R	PA_li_14_spring	North America_SNAPE	0.005100	0.005286	-0.155307
3R	PA_li_15_fall	North America_SNAPE	0.005018	0.005122	-0.078060
3R	PA_li_15_spring	North America_SNAPE	0.004877	0.004905	-0.019615
3R	PA_st_14_fall	North America_SNAPE	0.005026	0.005181	-0.121242
3R	PA_st_14_spring	North America_SNAPE	0.004764	0.004627	0.116739
3R	PA_st_15_spring	North America_SNAPE	0.005028	0.005173	-0.113149
3R	PO_Brz_15_12	Europe_SNAPE	0.004312	0.004329	-0.015492
3R	PO_Brz_16_17	Europe_SNAPE	0.004303	0.004364	-0.056593
3R	PO_Gda_16_16	Europe_SNAPE	0.004395	0.004278	0.113258
3R	PT_Rec_14_33	Europe_SNAPE	0.004955	0.005345	-0.334402
3R	PT_Rec_15_16	Europe_SNAPE	0.005156	0.005363	-0.207196
3R	PT_Rec_16_18	Europe_SNAPE	0.005042	0.005669	-0.441268
3R	RS_Kal_16_28	Europe_SNAPE	0.004096	0.004058	0.039281
3R	RS_Kal_16_29	Europe_SNAPE	0.004253	0.004314	-0.057491
3R	RS_Sla_16_30	Europe_SNAPE	0.004218	0.004185	0.033354
3R	RS_Sla_16_31	Europe_SNAPE	0.004060	0.003996	0.068427
3R	RU_Ale_15_55	Europe_SNAPE	0.003539	0.002698	1.314958
3R	RU_Ale_16_22	Europe_SNAPE	0.004458	0.004613	-0.143408
3R	RU_tul_15_37	Europe_SNAPE	0.004044	0.003821	0.231001
3R	RU_val_15_36	Europe_SNAPE	0.004321	0.003941	0.393170
3R	RU_val_15_38	Europe_SNAPE	0.004136	0.003522	0.695130
3R	RU_Val_16_19	Europe_SNAPE	0.004332	0.004438	-0.099347
3R	RU_Val_16_20	Europe_SNAPE	0.004305	0.004342	-0.035367
3R	RU_Val_16_21	Europe_SNAPE	0.003809	0.003128	0.874608
3R	SC_eu_10_spring	North America_SNAPE	0.005310	0.005256	0.041285
3R	SE_Lun_14_30	Europe_SNAPE	0.004630	0.004762	-0.121808
3R	SE_Lun_15_14	Europe_SNAPE	0.004624	0.004736	-0.096140
3R	SE_Lun_15_15	Europe_SNAPE	0.004454	0.004389	0.059182
3R	TR_Yes_15_3	Europe_SNAPE	0.004526	0.004606	-0.071239
3R	TR_Yes_15_4	Europe_SNAPE	0.004743	0.004837	-0.099613
3R	TR_Yes_15_5	Europe_SNAPE	0.004854	0.005066	-0.165290
3R	TR_Yes_15_6	Europe_SNAPE	0.004676	0.004786	-0.091204
3R	TR_Yes_15_7	Europe_SNAPE	0.005055	0.005160	-0.242132
3R	TR_Yes_15_8	Europe_SNAPE	0.004664	0.004957	-0.233540
3R	TR_Yes_16_39	Europe_SNAPE	0.004692	0.004967	-0.242782
3R	TR_Yes_16_40	Europe_SNAPE	0.004774	0.005027	-0.221659
3R	TR_Yes_16_41	Europe_SNAPE	0.004846	0.005183	-0.269433
3R	TR_Yes_16_42	Europe_SNAPE	0.004812	0.005078	-0.227863
3R	TR_Yes_16_43	Europe_SNAPE	0.004859	0.005147	-0.231806
3R	TR_Yes_16_52	Europe_SNAPE	0.004623	0.004808	-0.177007
3R	UA_Che_14_28	Europe_SNAPE	0.004230	0.004209	0.020578
3R	UA_Che_14_29	Europe_SNAPE	0.004359	0.004396	-0.036935
3R	UA_Cho_15_24	Europe_SNAPE	0.004407	0.004469	-0.060116
3R	UA_Cho_15_25	Europe_SNAPE	0.003716	0.002630	1.677863
3R	UA_Cho_15_26	Europe_SNAPE	0.004330	0.004407	-0.076178
3R	UA_Cho_15_27	Europe_SNAPE	0.004219	0.004100	0.116960
3R	UA_Cho_15_65	Europe_SNAPE	0.004309	0.004518	-0.191404
3R	UA_Cho_15_67	Europe_SNAPE	0.004255	0.004331	-0.073872
3R	UA_Cho_15_68	Europe_SNAPE	0.004328	0.004463	-0.126132
3R	UA_Cho_15_69	Europe_SNAPE	0.004246	0.004351	-0.104769
3R	UA_Cho_15_70	Europe_SNAPE	0.004427	0.004656	-0.208275
3R	UA_Cho_16_54	Europe_SNAPE	0.004276	0.004391	-0.110167
3R	UA_Cho_16_55	Europe_SNAPE	0.004293	0.004431	-0.126463
3R	UA_Cho_16_62	Europe_SNAPE	0.004307	0.004483	-0.165588
3R	UA_Dro_14_27	Europe_SNAPE	0.004311	0.004376	-0.063467
3R	UA_Dro_15_10	Europe_SNAPE	0.004641	0.004601	0.035054
3R	UA_Dro_16_56	Europe_SNAPE	0.004348	0.004467	-0.119869
3R	UA_Kan_16_57	Europe_SNAPE	0.004405	0.004584	-0.163470
3R	UA_Kha_15_19	Europe_SNAPE	0.004425	0.004551	-0.110219
3R	UA_Kha_16_58	Europe_SNAPE	0.004675	0.004920	-0.219138
3R	UA_Kyi_14_23	Europe_SNAPE	0.004397	0.004438	-0.042264
3R	UA_Kyi_14_24	Europe_SNAPE	0.004504	0.004568	-0.065537
3R	UA_Kyi_15_64	Europe_SNAPE	0.004410	0.004598	-0.169820
3R	UA_Kyi_16_44	Europe_SNAPE	0.004447	0.004639	-0.177842
3R	UA_Kyi_16_45	Europe_SNAPE	0.004492	0.004685	-0.188022
3R	UA_Kyi_16_59	Europe_SNAPE	0.004554	0.004821	-0.230300
3R	UA_od_13_fall	Europe_SNAPE	0.004589	0.004863	-0.234615
3R	UA_od_13_spring	Europe_SNAPE	0.004717	0.005045	-0.280791
3R	UA_Ode_14_19	Europe_SNAPE	0.004372	0.004441	-0.067274
3R	UA_Ode_14_20	Europe_SNAPE	0.004384	0.004390	-0.005678
3R	UA_Ode_14_21	Europe_SNAPE	0.004500	0.004592	-0.088368
3R	UA_Ode_14_22	Europe_SNAPE	0.004372	0.004420	-0.047918
3R	UA_Ode_15_11	Europe_SNAPE	0.004676	0.004966	-0.257908
3R	UA_Ode_15_20	Europe_SNAPE	0.004320	0.004367	-0.043762
3R	UA_Ode_15_22	Europe_SNAPE	0.004513	0.004716	-0.181046
3R	UA_Ode_15_66	Europe_SNAPE	0.004475	0.004634	-0.148812
3R	UA_Ode_16_46	Europe_SNAPE	0.004156	0.004277	-0.130779
3R	UA_Ode_16_47	Europe_SNAPE	0.004346	0.004528	-0.182257
3R	UA_Pir_16_48	Europe_SNAPE	0.004027	0.004113	-0.100769
3R	UA_Pyr_14_26	Europe_SNAPE	0.004321	0.004422	-0.095912
3R	UA_Pyr_15_21	Europe_SNAPE	0.004575	0.004693	-0.105117
3R	UA_Pyr_16_49	Europe_SNAPE	0.004450	0.004703	-0.220944
3R	UA_Uma_15_9	Europe_SNAPE	0.004535	0.004619	-0.073588
3R	UA_Uma_16_50	Europe_SNAPE	0.004436	0.004569	-0.138511
3R	UA_Uma_16_51	Europe_SNAPE	0.004395	0.004523	-0.129631
3R	UA_Var_14_25	Europe_SNAPE	0.004456	0.004530	-0.071364
3R	UA_Var_15_18	Europe_SNAPE	0.004592	0.004698	-0.094366
3R	UA_Var_16_60	Europe_SNAPE	0.004336	0.004462	-0.124865
3R	UA_Yal_14_16	Europe_SNAPE	0.004393	0.004352	0.038444
3R	UA_Yal_14_18	Europe_SNAPE	0.004490	0.004551	-0.056939
3R	UA_Yal_15_23	Europe_SNAPE	0.004514	0.004510	0.004706
3R	UA_Yal_15_63	Europe_SNAPE	0.004368	0.004534	-0.156829
3R	UA_Yal_16_61	Europe_SNAPE	0.004260	0.004312	-0.051769
3R	UK_Dai_15_52	Europe_SNAPE	0.004089	0.003660	0.469879
3R	UK_Dai_16_23	Europe_SNAPE	0.004472	0.004487	-0.013100
3R	UK_Lut_14_13	Europe_SNAPE	0.004631	0.004780	-0.129314
3R	UK_Mar_14_12	Europe_SNAPE	0.004528	0.004516	0.010254
3R	UK_Mar_15_42	Europe_SNAPE	0.004486	0.004554	-0.060729
3R	UK_Mar_16_53	Europe_SNAPE	0.004546	0.004852	-0.254526
3R	UK_She_14_09	Europe_SNAPE	0.006151	0.006580	-0.851266
3R	UK_She_15_17	Europe_SNAPE	0.004451	0.004230	0.208716
3R	VA_ch_12_fall	North America_SNAPE	0.004950	0.005081	-0.130820
3R	VA_ch_12_spring	North America_SNAPE	0.004933	0.004909	0.020467
3R	VA_ch_14_fall	North America_SNAPE	0.004918	0.004905	0.010630
3R	VA_ch_14_spring	North America_SNAPE	0.004873	0.004877	-0.002863
3R	VA_ch_15_fall	North America_SNAPE	0.004957	0.005010	-0.041849
3R	VA_ch_15_spring	North America_SNAPE	0.004913	0.004963	-0.039341
3R	WA_se_14_spring	North America_SNAPE	0.004783	0.004976	-0.139337
3R	WI_cp_12_fall	North America_SNAPE	0.004925	0.005068	-0.129655
3R	WI_cp_12_frost	North America_SNAPE	0.004858	0.005005	-0.135809
3R	WI_cp_12_spring	North America_SNAPE	0.004763	0.004781	-0.026430
3R	WI_cp_13_fall	North America_SNAPE	0.005073	0.005285	-0.171819
3R	WI_cp_13_spring	North America_SNAPE	0.005101	0.005638	-0.339006
3R	WI_cp_14_fall	North America_SNAPE	0.004986	0.005250	-0.188218
3R	WI_cp_14_spring	North America_SNAPE	0.004872	0.004566	0.260781
X	AT_gr_12_fall	Europe_SNAPE	0.003384	0.003353	0.059664
X	AT_gr_12_spring	Europe_SNAPE	0.003422	0.003399	0.060104
X	AT_Mau_15_50	Europe_SNAPE	0.003526	0.003437	0.117975
X	AT_Mau_15_51	Europe_SNAPE	0.003454	0.003329	0.175373
X	AT_See_16_1	Europe_SNAPE	0.003698	0.003745	-0.061082
X	BY_Bre_15_13	Europe_SNAPE	0.003470	0.003295	0.265976
X	CA_es_12_fall	North America_SNAPE	0.003846	0.003847	-0.001926
X	CA_es_12_frost	North America_SNAPE	0.003906	0.003911	-0.007401
X	CA_es_12_spring	North America_SNAPE	0.003872	0.003904	-0.045961
X	CA_es_13_fall	North America_SNAPE	0.003904	0.003960	-0.075688
X	CA_es_13_spring	North America_SNAPE	0.003892	0.003887	0.007703
X	CA_pl_12_fall	North America_SNAPE	0.003850	0.003870	-0.022986
X	CA_pl_12_frost	North America_SNAPE	0.003938	0.003942	-0.006187
X	CA_pl_13_fall	North America_SNAPE	0.003925	0.003936	-0.013477
X	CA_pl_13_frost	North America_SNAPE	0.003925	0.003906	0.026002
X	CA_st_12_fall	North America_SNAPE	0.003844	0.003880	-0.061336
X	CA_st_12_frost	North America_SNAPE	0.003913	0.003961	-0.079035
X	CA_st_13_fall	North America_SNAPE	0.003941	0.003947	-0.006925
X	CA_tu_12_fall	North America_SNAPE	0.003882	0.003939	-0.095161
X	CA_tu_12_frost	North America_SNAPE	0.003922	0.003930	-0.009252
X	CA_tu_13_fall	North America_SNAPE	0.003962	0.003951	0.013281
X	CA_tu_13_frost	North America_SNAPE	0.003925	0.003911	0.021328
X	CA_tu_13_spring	North America_SNAPE	0.003871	0.003850	0.030014
X	CH_Cha_14_42	Europe_SNAPE	0.003713	0.003718	-0.008822
X	CH_Cha_15_39	Europe_SNAPE	0.003597	0.003444	0.233867
X	CH_Cha_16_38	Europe_SNAPE	0.003455	0.003375	0.132688
X	CY_Nic_14_11	Europe_SNAPE	0.003676	0.003645	0.042850
X	DE_Bro_14_14	Europe_SNAPE	0.003579	0.003428	0.218802
X	DE_Bro_14_15	Europe_SNAPE	0.003682	0.003699	-0.025212
X	DE_Bro_15_53	Europe_SNAPE	0.003717	0.003733	-0.020759
X	DE_Bro_15_54	Europe_SNAPE	0.003738	0.003773	-0.043677
X	DE_Bro_16_10	Europe_SNAPE	0.003659	0.003679	-0.028287
X	DE_Bro_16_11	Europe_SNAPE	0.003693	0.003745	-0.071167
X	DE_Mun_14_31	Europe_SNAPE	0.003693	0.003650	0.073259
X	DE_Mun_14_32	Europe_SNAPE	0.003969	0.004121	-0.239640
X	DE_Mun_15_45	Europe_SNAPE	0.003746	0.003736	0.013557
X	DE_Mun_15_46	Europe_SNAPE	0.003773	0.003773	0.000303
X	DE_Mun_16_12	Europe_SNAPE	0.003687	0.003691	-0.005689
X	DE_Mun_16_13	Europe_SNAPE	0.003746	0.003807	-0.078904
X	DK_Kar_14_39	Europe_SNAPE	0.003946	0.004049	-0.157332
X	DK_Kar_14_41	Europe_SNAPE	0.003953	0.004040	-0.153742
