CHROM	POP	DATASET	Pi	Watterson	Tajima_D
2R	PA_li_12_fall	North America_SNAPE	0.005794	0.005869	-0.076071
2R	PA_li_12_spring	North America_SNAPE	0.005873	0.005863	0.007304
2R	PA_li_12_sum	North America_SNAPE	0.005780	0.005818	-0.030053
2R	PA_li_13_spring	North America_SNAPE	0.005768	0.005504	0.196234
2R	PA_li_14_fall	North America_SNAPE	0.005938	0.005983	-0.028387
2R	PA_li_14_spring	North America_SNAPE	0.005895	0.005995	-0.073283
2R	PA_li_15_fall	North America_SNAPE	0.005886	0.005904	-0.012216
2R	PA_li_15_spring	North America_SNAPE	0.005777	0.005584	0.121261
2R	PA_st_14_fall	North America_SNAPE	0.005960	0.005963	-0.001601
2R	PA_st_14_spring	North America_SNAPE	0.005719	0.005497	0.160301
2R	PA_st_15_spring	North America_SNAPE	0.005788	0.005800	-0.008357
2R	PO_Brz_15_12	Europe_SNAPE	0.005350	0.005298	0.040166
2R	PO_Brz_16_17	Europe_SNAPE	0.005094	0.005054	0.032757
2R	PO_Gda_16_16	Europe_SNAPE	0.004947	0.004689	0.227863
2R	PT_Rec_14_33	Europe_SNAPE	0.005281	0.005461	-0.151029
2R	PT_Rec_15_16	Europe_SNAPE	0.005457	0.005482	-0.023436
2R	PT_Rec_16_18	Europe_SNAPE	0.005189	0.005396	-0.152681
2R	RS_Kal_16_28	Europe_SNAPE	0.004816	0.004654	0.147230
2R	RS_Kal_16_29	Europe_SNAPE	0.004881	0.004772	0.091736
2R	RS_Sla_16_30	Europe_SNAPE	0.005016	0.004975	0.034996
2R	RS_Sla_16_31	Europe_SNAPE	0.004869	0.004743	0.113266
2R	RU_Ale_15_55	Europe_SNAPE	0.004254	0.003227	1.334240
2R	RU_Ale_16_22	Europe_SNAPE	0.005462	0.005427	0.027415
2R	RU_tul_15_37	Europe_SNAPE	0.004673	0.004164	0.481040
2R	RU_val_15_36	Europe_SNAPE	0.005108	0.004731	0.322760
2R	RU_val_15_38	Europe_SNAPE	0.005033	0.004565	0.408422
