id	dist.bin	type	V1	V2	lat.V1	long.V1	lat.V2	long.V2	popset	dist
275	0	PoolSNP	FI_Aka_15_35	PO_Brz_16_17	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
2750	20	PoolSNP	CY_Nic_14_11	UA_Ode_15_20	35.066461	33.322646	46.44155556	30.77169444	EW	11.6576211171237
2751	20	PoolSNP	DE_Bro_14_14	UA_Ode_15_20	48.218024	7.819513	46.44155556	30.77169444	EW	23.0208269393824
2753	20	PoolSNP	DE_Bro_15_53	UA_Ode_15_20	48.218	7.82	46.44155556	30.77169444	EW	23.0203395395362
2758	20	PoolSNP	DE_Mun_14_32	UA_Ode_15_20	48.18	11.61	46.44155556	30.77169444	EW	19.2403930022984
276	0	PoolSNP	FI_Aka_16_5	PO_Brz_16_17	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
277	0	PoolSNP	FI_Aka_16_6	PO_Brz_16_17	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
2770	40	PoolSNP	ES_Gim_16_34	UA_Ode_15_20	41.656416	0.388472	46.44155556	30.77169444	EW	30.757726938888
2777	20	PoolSNP	FI_Aka_16_5	UA_Ode_15_20	61.1	23.52	46.44155556	30.77169444	EW	16.3541146397992
2781	20	PoolSNP	FR_Got_15_49	UA_Ode_15_20	44.977	4.93	46.44155556	30.77169444	EW	25.8831623747689
2784	20	PoolSNP	FR_Vil_15_41	UA_Ode_15_20	48.754	2.158	46.44155556	30.77169444	EW	28.70698362409
2789	0	PoolSNP	TR_Yes_15_3	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2791	0	PoolSNP	TR_Yes_15_5	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2792	0	PoolSNP	TR_Yes_15_6	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2794	0	PoolSNP	TR_Yes_16_39	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2795	0	PoolSNP	TR_Yes_16_40	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2797	0	PoolSNP	TR_Yes_16_43	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2798	0	PoolSNP	TR_Yes_16_52	UA_Ode_15_20	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2799	40	PoolSNP	UK_Dai_15_52	UA_Ode_15_20	56.344534	-2.952766	46.44155556	30.77169444	EW	35.1483742718242
2815	20	PoolSNP	DE_Bro_15_54	UA_Ode_15_66	48.218	7.82	46.44155556	30.77169444	EW	23.0203395395362
282	20	PoolSNP	FR_Vil_15_40	PO_Brz_16_17	48.754	2.158	54.27342	19.620169	EW	18.3136927822043
2833	40	PoolSNP	ES_Tom_16_37	UA_Ode_15_66	39.152529	-3.0616048	46.44155556	30.77169444	EW	34.6095658114309
2840	20	PoolSNP	FI_Ves_14_38	UA_Ode_15_66	62.55	26.24	46.44155556	30.77169444	EW	16.7337454496623
2843	20	PoolSNP	FR_Got_16_8	UA_Ode_15_66	44.976813	4.930005	46.44155556	30.77169444	EW	25.8831679645379
2845	20	PoolSNP	FR_Vil_15_41	UA_Ode_15_66	48.754	2.158	46.44155556	30.77169444	EW	28.70698362409
2850	0	PoolSNP	TR_Yes_15_3	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2851	0	PoolSNP	TR_Yes_15_4	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2852	0	PoolSNP	TR_Yes_15_5	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2853	0	PoolSNP	TR_Yes_15_6	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2854	0	PoolSNP	TR_Yes_15_8	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2855	0	PoolSNP	TR_Yes_16_39	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2856	0	PoolSNP	TR_Yes_16_40	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
2857	0	PoolSNP	TR_Yes_16_42	UA_Ode_15_66	40.231444	32.260328	46.44155556	30.77169444	EW	6.38604067193467
286	0	PoolSNP	SE_Lun_15_14	PO_Brz_16_17	55.694	13.198	54.27342	19.620169	EW	6.57740847150008
2864	40	PoolSNP	UK_Mar_15_42	UA_Ode_15_66	52.4608	-0.959	46.44155556	30.77169444	EW	32.2965675153431
2866	40	PoolSNP	UK_She_14_09	UA_Ode_15_66	53.39052	-1.520599	46.44155556	30.77169444	EW	33.0315049975543
287	0	PoolSNP	SE_Lun_15_15	PO_Brz_16_17	55.694	13.198	54.27342	19.620169	EW	6.57740847150008
2876	20	PoolSNP	DE_Bro_15_54	UA_Pyr_16_49	48.218	7.82	50.53752	32.51880556	EW	24.8074821197373
2883	20	PoolSNP	DE_Mun_16_12	UA_Pyr_16_49	48.18	11.61	50.53752	32.51880556	EW	21.0412939358844
2886	20	PoolSNP	DK_Kar_14_41	UA_Pyr_16_49	55.945128	10.212586	50.53752	32.51880556	EW	22.9523344202848
2890	40	PoolSNP	ES_Gim_15_30	UA_Pyr_16_49	41.656416	0.388472	50.53752	32.51880556	EW	33.3351517611016
2906	40	PoolSNP	FR_Vil_15_41	UA_Pyr_16_49	48.754	2.158	50.53752	32.51880556	EW	30.4131461352246
2912	20	PoolSNP	TR_Yes_15_4	UA_Pyr_16_49	40.231444	32.260328	50.53752	32.51880556	EW	10.3093168137758
2918	20	PoolSNP	TR_Yes_16_42	UA_Pyr_16_49	40.231444	32.260328	50.53752	32.51880556	EW	10.3093168137758
2921	40	PoolSNP	UK_Dai_15_52	UA_Pyr_16_49	56.344534	-2.952766	50.53752	32.51880556	EW	35.9437588536925
2923	40	PoolSNP	UK_Lut_14_13	UA_Pyr_16_49	52.433592	-1.102667	50.53752	32.51880556	EW	33.6748943002353
2925	40	PoolSNP	UK_Mar_15_42	UA_Pyr_16_49	52.4608	-0.959	50.53752	32.51880556	EW	33.5330056969483
2926	40	PoolSNP	UK_Mar_16_53	UA_Pyr_16_49	52.46	-0.959	50.53752	32.51880556	EW	33.532959822592
2928	40	PoolSNP	UK_She_15_17	UA_Pyr_16_49	53.391	-1.521	50.53752	32.51880556	EW	34.1591965753442
2942	20	PoolSNP	DE_Mun_15_45	UA_Uma_15_9	48.18	11.61	48.75327778	30.20580556	EW	18.6046400620482
2951	40	PoolSNP	ES_Gim_15_30	UA_Uma_15_9	41.656416	0.388472	48.75327778	30.20580556	EW	30.6502663569622
2952	40	PoolSNP	ES_Gim_15_31	UA_Uma_15_9	41.656416	0.388472	48.75327778	30.20580556	EW	30.6502663569622
2953	40	PoolSNP	ES_Gim_16_34	UA_Uma_15_9	41.656416	0.388472	48.75327778	30.20580556	EW	30.6502663569622
296	20	PoolSNP	TR_Yes_16_43	PO_Brz_16_17	40.231444	32.260328	54.27342	19.620169	EW	18.8931392185062
2970	20	PoolSNP	SE_Lun_15_14	UA_Uma_15_9	55.694	13.198	48.75327778	30.20580556	EW	18.3695148248931
2972	0	PoolSNP	TR_Yes_15_3	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2973	0	PoolSNP	TR_Yes_15_4	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2974	0	PoolSNP	TR_Yes_15_5	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2975	0	PoolSNP	TR_Yes_15_6	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2976	0	PoolSNP	TR_Yes_15_8	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2977	0	PoolSNP	TR_Yes_16_39	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2978	0	PoolSNP	TR_Yes_16_40	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2979	0	PoolSNP	TR_Yes_16_42	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2980	0	PoolSNP	TR_Yes_16_43	UA_Uma_15_9	40.231444	32.260328	48.75327778	30.20580556	EW	8.76599757189178
2985	40	PoolSNP	UK_Mar_14_12	UA_Uma_15_9	52.475769	-0.921517	48.75327778	30.20580556	EW	31.3491172226151
2986	40	PoolSNP	UK_Mar_15_42	UA_Uma_15_9	52.4608	-0.959	48.75327778	30.20580556	EW	31.3845635082663
2987	40	PoolSNP	UK_Mar_16_53	UA_Uma_15_9	52.46	-0.959	48.75327778	30.20580556	EW	31.3844690126956
2989	40	PoolSNP	UK_She_15_17	UA_Uma_15_9	53.391	-1.521	48.75327778	30.20580556	EW	32.0639775828254
2997	20	PoolSNP	DE_Bro_15_53	UA_Uma_16_50	48.218	7.82	48.75	30.2	EW	22.3863222526613
3	0	PoolSNP	CH_Cha_15_39	AT_Mau_15_50	46.5670416	6.701867	48.375	15.56	EW	9.04075405161647
3008	20	PoolSNP	DK_Kar_14_41	UA_Uma_16_50	55.945128	10.212586	48.75	30.2	EW	21.2430361611466
3012	40	PoolSNP	ES_Gim_15_30	UA_Uma_16_50	41.656416	0.388472	48.75	30.2	EW	30.6438596730216
3015	40	PoolSNP	ES_Tom_15_28	UA_Uma_16_50	39.15805	-3.021	48.75	30.2	EW	34.5780327057874
3027	20	PoolSNP	FR_Vil_15_40	UA_Uma_16_50	48.754	2.158	48.75	30.2	EW	28.0420002852864
3030	20	PoolSNP	SE_Lun_14_30	UA_Uma_16_50	55.694	13.198	48.75	30.2	EW	18.3653788417228
3033	0	PoolSNP	TR_Yes_15_3	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3034	0	PoolSNP	TR_Yes_15_4	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3035	0	PoolSNP	TR_Yes_15_5	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3036	0	PoolSNP	TR_Yes_15_6	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3037	0	PoolSNP	TR_Yes_15_8	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3038	0	PoolSNP	TR_Yes_16_39	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3039	0	PoolSNP	TR_Yes_16_40	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3040	0	PoolSNP	TR_Yes_16_42	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3042	0	PoolSNP	TR_Yes_16_52	UA_Uma_16_50	40.231444	32.260328	48.75	30.2	EW	8.76417410785066
3046	40	PoolSNP	UK_Mar_14_12	UA_Uma_16_50	52.475769	-0.921517	48.75	30.2	EW	31.3437421987651
